profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir,eslesen_sehir
sedaninlezzetlitarifleri,54.0,19.0,15.0,3.0,erzurum,Erzurum
Lezzetisanat,19.0,22.0,198.0,6.0,antalya,Antalya
busraaakaya,60.0,11.0,14.0,0.0,tokat,Tokat
mehtap-zengin-memis-8653,44.0,6.0,17.0,1.0,kayseri̇,Kayseri
zubeydeylmaz,67.0,15.0,21.0,2.0,ri̇ze,Rize
nytuser_edanurkazanciogl_6298,26.0,5.0,3.0,2.0,bursa,Bursa
nisanurdogan_5429,29.0,9.0,14.0,0.0,i̇stanbul,İstanbul
Gulsun_Saka,88.0,10.0,18.0,4.0,konya,Konya
o20142016m,105.0,47.0,91.0,11.0,ankara,Ankara
nytuser_nesibesamsa_3085,18.0,2.0,0.0,0.0,adiyaman,Adıyaman
aytenin_yemek_dunyasi,20.0,4.0,3.0,1.0,adiyaman,Adıyaman
gulada72,40.0,10.0,8.0,0.0,balikesi̇r,Balıkesir
safiye-sagdic-9865,50.0,11.0,17.0,7.0,kayseri̇,Kayseri
nytuser_yagmurkorkmaz_3725,19.0,3.0,0.0,0.0,i̇stanbul,İstanbul
kitchenofmery,20.0,18.0,19.0,2.0,elaziğ,Elazığ
Fatma_ToruntaySen,117.0,69.0,62.0,13.0,teki̇rdağ,Tekirdağ
zehraerl,92.0,41.0,54.0,8.0,i̇stanbul,İstanbul
Cansu_Naz,47.0,24.0,13.0,2.0,i̇stanbul,İstanbul
nytuser_sayaraabdullayew_4639,21.0,10.0,5.0,1.0,i̇stanbul,İstanbul
pratiktarifmutfagi,23.0,37.0,256.0,1376.0,bursa,Bursa
sukrankilic_5884,42.0,4.0,13.0,1.0,mardi̇n,Mardin
goog_7edb621c5ac1,32.0,27.0,479.0,376.0,mersi̇n,Mersin
aycankrdg,61.0,20.0,42.0,10.0,kırşehir,Kırşehir
sinosunenfestarifleri3092,62.0,12.0,41.0,40.0,malatya,Malatya
hilaltosun_1903,27.0,4.0,4.0,3.0,gazi̇antep,Gaziantep
nytuser_songulyildirim_8176,25.0,18.0,62.0,2.0,bursa,Bursa
Hamaratannnee,26.0,14.0,3.0,1.0,i̇stanbul,İstanbul
HG84,22.0,8.0,11.0,7.0,afyon,Afyon
goog_5e1a85d68247,44.0,5.0,8.0,7.0,gazi̇antep,Gaziantep
oozgedemir,60.0,26.0,20.0,12.0,i̇stanbul,İstanbul
Dmt_OzknYldz,132.0,31.0,46.0,14.0,sakarya,Sakarya
Yusuf_Yilmaz63,68.0,6.0,18.0,3.0,i̇stanbul,İstanbul
fatma-7706,49.0,6.0,9.0,3.0,kayseri̇,Kayseri
emin_e,31.0,87.0,51.0,0.0,konya,Konya
Fatma_Bilik3,38.0,11.0,15.0,2.0,çorum,Çorum
Melike_hpn,38.0,9.0,12.0,14.0,ki̇li̇s,Kilis
kubramuratkaraman,99.0,18.0,12.0,20.0,trabzon,Trabzon
nytuser_ikrali_sunumlar_6327,26.0,18.0,32.0,7.0,i̇stanbul,İstanbul
nytuser_haticealpaslan_3143,26.0,3.0,0.0,1.0,konya,Konya
symhmtt,119.0,40.0,41.0,91.0,kütahya,Kütahya
sevvalboden,71.0,52.0,138.0,2.0,aydin,Aydın
Melike_Erdal,111.0,23.0,26.0,13.0,i̇stanbul,İstanbul
Merve_Gokce3,123.0,46.0,33.0,5.0,çorum,Çorum
Ezgi_Satir2,83.0,35.0,29.0,14.0,düzce,Düzce
bjkask,58.0,5.0,3.0,4.0,ağri,Ağrı
Ozge_Olker,94.0,21.0,16.0,5.0,i̇stanbul,İstanbul
nytuser_haticedilekci_4339,29.0,6.0,13.0,13.0,ordu,Ordu
nytuser_esinsercekarako_3912,44.0,5.0,2.0,0.0,i̇stanbul,İstanbul
arzu-ozel-3349,45.0,28.0,27.0,1.0,kahramanmaraş,Kahramanmaraş
vuslatonl,119.0,31.0,20.0,6.0,malatya,Malatya
birnaz08,99.0,8.0,5.0,1.0,ankara,Ankara
mehon,83.0,5.0,9.0,6.0,i̇stanbul,İstanbul
Didem_Tayar2,103.0,96.0,131.0,3.0,trabzon,Trabzon
esrayavuzzz,91.0,5.0,5.0,2.0,elaziğ,Elazığ
mutfak__guncesii,39.0,53.0,56.0,0.0,ankara,Ankara
goog_fd137e78d08d,30.0,1.0,1.0,6.0,gi̇resun,Giresun
Dilan_Ozturk11,57.0,5.0,6.0,3.0,muğla,Muğla
Gamze_Tozlu,126.0,20.0,51.0,11.0,hatay,Hatay
ayse_ibrahimm,41.0,14.0,6.0,4.0,bursa,Bursa
Aysel_Harun,112.0,17.0,27.0,19.0,kahramanmaraş,Kahramanmaraş
canan2303,84.0,6.0,88.0,129.0,i̇zmi̇r,İzmir
senayates_9106,34.0,5.0,4.0,0.0,sakarya,Sakarya
zeynep_arasss,105.0,38.0,32.0,4.0,ankara,Ankara
Sevgi-faruk,136.0,45.0,67.0,3.0,i̇stanbul,İstanbul
yelizuluay,70.0,14.0,10.0,6.0,kocaeli̇,Kocaeli
Nigar_Sargin,93.0,4.0,10.0,21.0,i̇zmi̇r,İzmir
goog_46123f6435ca,31.0,2.0,0.0,0.0,adana,Adana
selinkurtulus_1955,31.0,2.0,4.0,2.0,bursa,Bursa
dilbersengul_9105,32.0,10.0,11.0,9.0,samsun,Samsun
pinar_ayd9914,31.0,3.0,1.0,0.0,i̇stanbul,İstanbul
eceyenigelen,67.0,16.0,17.0,3.0,i̇zmi̇r,İzmir
bikolaytarif,32.0,2.0,0.0,0.0,teki̇rdağ,Tekirdağ
Ebubekir_PasaAy,111.0,3.0,0.0,6.0,konya,Konya
Zehra_Koken,118.0,33.0,31.0,7.0,i̇stanbul,İstanbul
merve-ozdemir-4800,48.0,10.0,6.0,13.0,adana,Adana
Saliha_Mert,97.0,3.0,2.0,4.0,bursa,Bursa
rukiyegizemaktas_0144,38.0,15.0,34.0,32.0,kahramanmaraş,Kahramanmaraş
senauslu,33.0,5.0,23.0,21.0,i̇zmi̇r,İzmir
goog_c21656c3b9ff,34.0,3.0,5.0,1.0,kayseri̇,Kayseri
zlha03,78.0,39.0,132.0,28.0,afyon,Afyon
goog_a618a27d9c40,37.0,2.0,4.0,18.0,i̇zmi̇r,İzmir
goog_1e70b5af9a07,38.0,5.0,11.0,32.0,sakarya,Sakarya
merveoner,91.0,143.0,107.0,10.0,van,Van
kubrailcihan8255,60.0,47.0,22.0,0.0,hatay,Hatay
busekimki,40.0,1.0,0.0,0.0,i̇stanbul,İstanbul
beyzmert,62.0,15.0,22.0,20.0,bartin,Bartın
hayriye-ozel-4082,47.0,2.0,1.0,0.0,çanakkale,Çanakkale
Eylul_Demir,120.0,4.0,12.0,3.0,çorum,Çorum
idil-alkan-2111,46.0,3.0,3.0,2.0,hatay,Hatay
yamel0201,89.0,7.0,24.0,31.0,i̇stanbul,İstanbul
muhacir-asr,123.0,3.0,7.0,19.0,samsun,Samsun
tattlieksi,36.0,16.0,56.0,23.0,nevşehi̇r,Nevşehir
ebruozbir1,45.0,16.0,32.0,4.0,i̇stanbul,İstanbul
meryem9153,89.0,138.0,939.0,3.0,ri̇ze,Rize
begumturk_8486,37.0,2.0,3.0,0.0,gazi̇antep,Gaziantep
Nevin_CetinSik,125.0,7.0,23.0,31.0,balikesi̇r,Balıkesir
hgylmz,46.0,7.0,0.0,0.0,i̇stanbul,İstanbul
tevhideguler,36.0,14.0,19.0,17.0,i̇stanbul,İstanbul
Muhammed_Demir26,68.0,4.0,3.0,1.0,i̇stanbul,İstanbul
goog_ec995c8e95fc,42.0,3.0,6.0,2.0,i̇zmi̇r,İzmir
acemimutfak2022,37.0,66.0,70.0,45.0,balikesi̇r,Balıkesir
